"Code","ShortDescription"
"G59","Mononeuropathy in diseases classified elsewhere"
"G60","Hereditary and idiopathic neuropathy"
"G61","Inflammatory polyneuropathy"
"G62","Other and unspecified polyneuropathies"
"G63","Polyneuropathy in diseases classified elsewhere"
"G64","Other disorders of peripheral nervous system"
"G70","Myasthenia gravis and other myoneural disorders"
"G71","Primary disorders of muscles"
"G72","Other and unspecified myopathies"
"G73","Disorders of myoneural junction and muscle in diseases classified elsewhere"
"G80","Cerebral palsy"
"G81","Hemiplegia and hemiparesis"
"G82","Paraplegia (paraparesis) and quadriplegia (quadriparesis)"
"G83","Other paralytic syndromes"
"G90","Disorders of autonomic nervous system"
"G91","Hydrocephalus"
"G92","Toxic encephalopathy"
"G93","Other disorders of brain"
"G94","Other disorders of brain in diseases classified elsewhere"
"G95","Other and unspecified diseases of spinal cord"
"G96","Other disorders of central nervous system"
"G97","Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
"G98","Other disorders of nervous system not elsewhere classified"
"G99","Other disorders of nervous system in diseases classified elsewhere"
"H00","Hordeolum and chalazion"
"H01","Other inflammation of eyelid"
"H02","Other disorders of eyelid"
"H03","Other disorders of eyelid"
"H04","Disorders of lacrimal system"
"H05","Disorders of orbit"
"H06","Disorders of lacrimal system"
"H10","Conjunctivitis"
"H11","Other disorders of conjunctiva"
"H13","Other disorders of conjunctiva"
"H15","Disorders of sclera"
"H16","Keratitis"
"H17","Corneal scars and opacities"
"H18","Other disorders of cornea"
"H19","Other disorders of sclera and cornea"
"H20","Iridocyclitis"
"H21","Other disorders of iris and ciliary body"
"H22","Disorders of iris and ciliary body in diseases classified elsewhere"
"H25","Age-related cataract"
"H26","Other cataract"
"H27","Other disorders of lens"
"H28","Cataract in diseases classified elsewhere"
"H30","Chorioretinal inflammation"
"H31","Other disorders of choroid"
"H32","Chorioretinal disorders in diseases classified elsewhere"
"H33","Retinal detachments and breaks"
"H34","Retinal vascular occlusions"
"H35","Other retinal disorders"
"H36","Retinal disorders in diseases classified elsewhere"
"H40","Glaucoma"
"H42","Glaucoma in diseases classified elsewhere"
"H43","Disorders of vitreous body"
"H44","Disorders of globe"
"H45","Disorders of vitreous body"
"H46","Optic neuritis"
"H47","Other disorders of optic [2nd] nerve and visual pathways"
"H48","Disorders of optic chiasm"
"H49","Paralytic strabismus"
"H50","Other strabismus"
"H51","Other disorders of binocular movement"
"H52","Disorders of refraction and accommodation"
"H53","Visual disturbances"
"H54","Blindness and low vision"
"H55","Nystagmus and other irregular eye movements"
"H57","Other disorders of eye and adnexa"
"H58","Other disorders of eye and adnexa"
"H59","Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified"
"H60","Otitis externa"
"H61","Other disorders of external ear"
"H62","Disorders of external ear in diseases classified elsewhere"
"H65","Nonsuppurative otitis media"
"H66","Suppurative and unspecified otitis media"
"H67","Otitis media in diseases classified elsewhere"
"H68","Eustachian salpingitis and obstruction"
"H69","Other and unspecified disorders of Eustachian tube"
"H70","Mastoiditis and related conditions"
"H71","Cholesteatoma of middle ear"
"H72","Perforation of tympanic membrane"
"H73","Other disorders of tympanic membrane"
"H74","Other disorders of middle ear mastoid"
"H75","Other disorders of middle ear and mastoid in diseases classified elsewhere"
"H80","Otosclerosis"
"H81","Disorders of vestibular function"
"H82","Vertiginous syndromes in diseases classified elsewhere"
"H83","Other diseases of inner ear"
"H90","Conductive and sensorineural hearing loss"
"H91","Other and unspecified hearing loss"
"H92","Otalgia and effusion of ear"
"H93","Other disorders of ear, not elsewhere classified"
"H94","Other disorders of ear in diseases classified elsewhere"
"H95","Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified"
"I00","Rheumatic fever without heart involvement"
"I01","Rheumatic fever with heart involvement"
"I02","Rheumatic chorea"
"I05","Rheumatic mitral valve diseases"
"I06","Rheumatic aortic valve diseases"
"I07","Rheumatic tricuspid valve diseases"
"I08","Multiple valve diseases"
"I09","Other rheumatic heart diseases"
"I10","Essential (primary) hypertension"
"I11","Hypertensive heart disease"
"I12","Hypertensive chronic kidney disease"
"I13","Hypertensive heart and chronic kidney disease"
"I15","Secondary hypertension"
"I20","Angina pectoris"
"I21","Acute myocardial infarction"
"I22","Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction"
"I23","Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period)"
"I24","Other acute ischemic heart diseases"
"I25","Chronic ischemic heart disease"
"I26","Pulmonary embolism"
"I27","Other pulmonary heart diseases"
"I28","Other diseases of pulmonary vessels"
"I30","Acute pericarditis"
"I31","Other diseases of pericardium"
"I32","Pericarditis in diseases classified elsewhere"
"I33","Acute and subacute endocarditis"
"I34","Nonrheumatic mitral valve disorders"
"I35","Nonrheumatic aortic valve disorders"
"I36","Nonrheumatic tricuspid valve disorders"
"I37","Nonrheumatic pulmonary valve disorders"
"I38","Endocarditis, valve unspecified"
"I39","Endocarditis and heart valve disorders in diseases classified elsewhere"
"I40","Acute myocarditis"
"I41","Myocarditis in diseases classified elsewhere"
"I42","Cardiomyopathy"
"I43","Cardiomyopathy in diseases classified elsewhere"
"I44","Atrioventricular and left bundle-branch block"
"I45","Other conduction disorders"
"I46","Cardiac arrest"
"I47","Paroxysmal tachycardia"
"I48","Atrial fibrillation and flutter"
"I49","Other cardiac arrhythmias"
"I50","Heart failure"
"I51","Complications and ill-defined descriptions of heart disease"
"I52","Other heart disorders in diseases classified elsewhere"
"I60","Nontraumatic subarachnoid hemorrhage"
"I61","Nontraumatic intracerebral hemorrhage"
"I62","Other and unspecified nontraumatic intracranial hemorrhage"
"I63","Cerebral infarction"
"I64","Stroke, unspecified"
"I65","Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
"I66","Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
"I67","Other cerebrovascular diseases"
"I68","Cerebrovascular disorders in diseases classified elsewhere"
"I69","Sequelae of cerebrovascular disease"
"I70","Atherosclerosis"
"I71","Aortic aneurysm and dissection"
"I72","Other aneurysm"
"I73","Other peripheral vascular diseases"
"I74","Arterial embolism and thrombosis"
"I77","Other disorders of arteries and arterioles"
"I78","Diseases of capillaries"
"I79","Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
"I80","Phlebitis and thrombophlebitis"
"I81","Portal vein thrombosis"
"I82","Other venous embolism and thrombosis"
"I83","Varicose veins of lower extremities"
"I84","Hemorrhoids"
"I85","Esophageal varices"
"I86","Varicose veins of other sites"
"I87","Other disorders of veins"
"I88","Nonspecific lymphadenitis"
"I89","Other noninfective disorders of lymphatic vessels and lymph nodes"
"I95","Hypotension"
"I97","Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
"I98","Other circulatory disorders"
"I99","Other and unspecified disorders of circulatory system"
"J00","Acute nasopharyngitis [common cold]"
"J01","Acute sinusitis"
"J02","Acute pharyngitis"
"J03","Acute tonsillitis"
"J04","Acute laryngitis and tracheitis"
"J05","Acute obstructive laryngitis [croup] and epiglottitis"
"J06","Acute upper respiratory infections of multiple and unspecified sites"
"J09","Influenza due to certain identified influenza viruses"
"J10","Influenza due to other identified influenza virus"
"J11","Influenza due to unidentified influenza virus"
"J12","Viral pneumonia, not elsewhere classified"
"J13","Pneumonia due to Streptococcus pneumoniae"
"J14","Pneumonia due to Hemophilus influenzae"
"J15","Bacterial pneumonia, not elsewhere classified"
"J16","Pneumonia due to other infectious organisms, not elsewhere classified"
"J17","Pneumonia in diseases classified elsewhere"
"J18","Pneumonia, unspecified organism"
"J20","Acute bronchitis"
"J21","Acute bronchiolitis"
"J22","Unspecified acute lower respiratory infection"
"J30","Vasomotor and allergic rhinitis"
"J31","Chronic rhinitis, nasopharyngitis and pharyngitis"
"J32","Chronic sinusitis"
"J33","Nasal polyp"
"J34","Other and unspecified disorders of nose and nasal sinuses"
"J35","Chronic diseases of tonsils and adenoids"
"J36","Peritonsillar abscess"
"J37","Chronic laryngitis and laryngotracheitis"
"J38","Diseases of vocal cords and larynx, not elsewhere classified"
"J39","Other diseases of upper respiratory tract"
"J40","Bronchitis, not specified as acute or chronic"
"J41","Simple and mucopurulent chronic bronchitis"
"J42","Unspecified chronic bronchitis"
"J43","Emphysema"
"J44","Other chronic obstructive pulmonary disease"
"J45","Asthma"
"J46","Status asthmaticus"
"J47","Bronchiectasis"
"J60","Coalworker's pneumoconiosis"
"J61","Pneumoconiosis due to asbestos and other mineral fibers"
"J62","Pneumoconiosis due to dust containing silica"
"J63","Pneumoconiosis due to other inorganic dusts"
"J64","Unspecified pneumoconiosis"
"J65","Pneumoconiosis associated with tuberculosis"
"J66","Airway disease due to specific organic dust"
"J67","Hypersensitivity pneumonitis due to organic dust"
"J68","Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors"
"J69","Pneumonitis due to solids and liquids"
"J70","Respiratory conditions due to other external agents"
"J80","Acute respiratory distress syndrome"
"J81","Pulmonary edema"
"J82","Pulmonary eosinophilia, not elsewhere classified"
"J84","Other interstitial pulmonary diseases"
"J85","Abscess of lung and mediastinum"
"J86","Pyothorax"
"J90","Pleural effusion, not elsewhere classified"
"J91","Pleural effusion in conditions classified elsewhere"
"J92","Pleural plaque"
"J93","Pneumothorax and air leak"
"J94","Other pleural conditions"
"J95","Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified"
"J96","Respiratory failure, not elsewhere classified"
"J98","Other respiratory disorders"
"J99","Respiratory disorders in diseases classified elsewhere"
"K00","Disorders of tooth development and eruption"
"K01","Embedded and impacted teeth"
"K02","Dental caries"
"K03","Other diseases of hard tissues of teeth"
"K04","Diseases of pulp and periapical tissues"
"K05","Gingivitis and periodontal diseases"
"K06","Other disorders of gingiva and edentulous alveolar ridge"
"K07","Dentofacial anomalies"
"K08","Other disorders of teeth and supporting structures"
"K09","Cysts of oral region, not elsewhere classified"
"K10","Other diseases of jaws"
"K11","Diseases of salivary glands"
"K12","Stomatitis and related lesions"
"K13","Other diseases of lip and oral mucosa"
"K14","Diseases of tongue"
"K20","Esophagitis"
"K21","Gastro-esophageal reflux disease"
"K22","Other diseases of esophagus"
"K23","Disorders of esophagus in diseases classified elsewhere"
"K25","Gastric ulcer"
"K26","Duodenal ulcer"
"K27","Peptic ulcer, site unspecified"
"K28","Gastrojejunal ulcer"
"K29","Gastritis and duodenitis"
"K30","Functional dyspepsia"
"K31","Other diseases of stomach and duodenum"
"K35","Acute appendicitis"
"K36","Other appendicitis"
"K37","Unspecified appendicitis"
"K38","Other diseases of appendix"
"K40","Inguinal hernia"
"K41","Femoral hernia"
"K42","Umbilical hernia"
"K43","Ventral hernia"
"K44","Diaphragmatic hernia"
"K45","Other abdominal hernia"
"K46","Unspecified abdominal hernia"
"K50","Crohn's disease [regional enteritis]"
"K51","Ulcerative colitis"
"K52","Other and unspecified noninfective gastroenteritis and colitis"
"K55","Vascular disorders of intestine"
"K56","Paralytic ileus and intestinal obstruction without hernia"
"K57","Diverticular disease of intestine"
"K58","Irritable bowel syndrome"
"K59","Other functional intestinal disorders"
"K60","Fissure and fistula of anal and rectal regions"
"K61","Abscess of anal and rectal regions"
"K62","Other diseases of anus and rectum"
"K63","Other diseases of intestine"
"K64","Hemorrhoids and perianal venous thrombosis"
"K65","Peritonitis"
"K66","Other disorders of peritoneum"
"K67","Disorders of peritoneum in infectious diseases classified elsewhere"
"K70","Alcoholic liver disease"
"K71","Toxic liver disease"
"K72","Hepatic failure, not elsewhere classified"
"K73","Chronic hepatitis, not elsewhere classified"
"K74","Fibrosis and cirrhosis of liver"
"K75","Other inflammatory liver diseases"
"K76","Other diseases of liver"
"K77","Liver disorders in diseases classified elsewhere"
"K80","Cholelithiasis"
"K81","Cholecystitis"
"K82","Other diseases of gallbladder"
"K83","Other diseases of biliary tract"
"K85","Acute pancreatitis"
"K86","Other diseases of pancreas"
"K87","Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere"
"K90","Intestinal malabsorption"
"K91","Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
"K92","Other diseases of digestive system"
"K93","Other digestive diseases"
"L00","Staphylococcal scalded skin syndrome"
"L01","Impetigo"
"L02","Cutaneous abscess, furuncle and carbuncle"
"L03","Cellulitis and acute lymphangitis"
"L04","Acute lymphadenitis"
"L05","Pilonidal cyst and sinus"
"L08","Other local infections of skin and subcutaneous tissue"
"L10","Pemphigus"
"L11","Other acantholytic disorders"
"L12","Pemphigoid"
"L13","Other bullous disorders"
"L14","Bullous disorders in diseases classified elsewhere"
"L20","Atopic dermatitis"
"L21","Seborrheic dermatitis"
"L22","Diaper dermatitis"
"L23","Allergic contact dermatitis"
"L24","Irritant contact dermatitis"
"L25","Unspecified contact dermatitis"
"L26","Exfoliative dermatitis"
"L27","Dermatitis due to substances taken internally"
"L28","Lichen simplex chronicus and prurigo"
"L29","Pruritus"
"L30","Other and unspecified dermatitis"
"L40","Psoriasis"
"L41","Parapsoriasis"
"L42","Pityriasis rosea"
"L43","Lichen planus"
"L44","Other papulosquamous disorders"
"L45","Papulosquamous disorders in diseases classified elsewhere"
"L50","Urticaria"
"L51","Erythema multiforme"
"L52","Erythema nodosum"
"L53","Other erythematous conditions"
"L54","Erythema in diseases classified elsewhere"
"L55","Sunburn"
"L56","Other acute skin changes due to ultraviolet radiation"
"L57","Skin changes due to chronic exposure to nonionizing radiation"
"L58","Radiodermatitis"
"L59","Other disorders of skin and subcutaneous tissue related to radiation"
"L60","Nail disorders"
"L62","Nail disorders in diseases classified elsewhere"
"L63","Alopecia areata"
"L64","Androgenic alopecia"
"L65","Other nonscarring hair loss"
"L66","Cicatricial alopecia [scarring hair loss]"
"L67","Hair color and hair shaft abnormalities"
"L68","Hypertrichosis"
"L70","Acne"
"L71","Rosacea"
"L72","Follicular cysts of skin and subcutaneous tissue"
"L73","Other follicular disorders"
"L74","Eccrine sweat disorders"
"L75","Apocrine sweat disorders"
"L80","Vitiligo"
"L81","Other disorders of pigmentation"
"L82","Seborrheic keratosis"
"L83","Acanthosis nigricans"
"L84","Corns and callosities"
"L85","Other epidermal thickening"
"L86","Keratoderma in diseases classified elsewhere"
"L87","Transepidermal elimination disorders"
"L88","Pyoderma gangrenosum"
"L89","Pressure ulcer"
"L90","Atrophic disorders of skin"
"L91","Hypertrophic disorders of skin"
"L92","Granulomatous disorders of skin and subcutaneous tissue"
"L93","Lupus erythematosus"
"L94","Other localized connective tissue disorders"
"L95","Vasculitis limited to skin, not elsewhere classified"
"L97","Non-pressure chronic ulcer of lower limb, not elsewhere classified"
"L98","Other disorders of skin and subcutaneous tissue, not elsewhere classified"
"L99","Other disorders of skin and subcutaneous tissue in diseases classified elsewhere"
"M00","Pyogenic arthritis"
"M01","Direct infections of joint in infectious and parasitic diseases classified elsewhere"
"M02","Postinfective and reactive arthropathies"
"M03","Postinfective and reactive arthropathies"
"M05","Rheumatoid arthritis with rheumatoid factor"
"M06","Other rheumatoid arthritis"
"M07","Enteropathic arthropathies"
"M08","Juvenile arthritis"
"M09","Juvenile arthritis in other diseases"
"M10","Gout"
"M11","Other crystal arthropathies"
"M12","Other and unspecified arthropathy"
"M13","Other arthritis"
"M14","Arthropathies in other diseases classified elsewhere"
"M15","Polyosteoarthritis"
"M16","Osteoarthritis of hip"
"M17","Osteoarthritis of knee"
"M18","Osteoarthritis of first carpometacarpal joint"
"M19","Other and unspecified osteoarthritis"
"M20","Acquired deformities of fingers and toes"
"M21","Other acquired deformities of limbs"
"M22","Disorder of patella"
"M23","Internal derangement of knee"
"M24","Other specific joint derangements"
"M25","Other joint disorder, not elsewhere classified"
"M30","Polyarteritis nodosa and related conditions"
"M31","Other necrotizing vasculopathies"
"M32","Systemic lupus erythematosus (SLE)"
"M33","Dermatopolymyositis"
"M34","Systemic sclerosis [scleroderma]"
"M35","Other systemic involvement of connective tissue"
"M36","Systemic disorders of connective tissue in diseases classified elsewhere"
"M40","Kyphosis and lordosis"
"M41","Scoliosis"
"M42","Spinal osteochondrosis"
"M43","Other deforming dorsopathies"
"M45","Ankylosing spondylitis"
"M46","Other inflammatory spondylopathies"
"M47","Spondylosis"
"M48","Other spondylopathies"
"M49","Spondylopathies in diseases classified elsewhere"
"M50","Cervical disc disorders"
"M51","Thoracic"
"M53","Other and unspecified dorsopathies, not elsewhere classified"
"M54","Dorsalgia"
"M60","Myositis"
"M61","Calcification and ossification of muscle"
"M62","Other disorders of muscle"
"M63","Disorders of muscle in diseases classified elsewhere"
"M65","Synovitis and tenosynovitis"
"M66","Spontaneous rupture of synovium and tendon"
"M67","Other disorders of synovium and tendon"
"M68","Disorders of synovium and tendon"
"M70","Soft tissue disorders related to use, overuse and pressure"
"M71","Other bursopathies"
"M72","Fibroblastic disorders"
"M73","Enthesopathies in other diseases"
"M75","Shoulder lesions"
"M76","Enthesopathies, lower limb, excluding foot"
"M77","Other enthesopathies"
"M79","Other and unspecified soft tissue disorders, not elsewhere classified"
"M80","Osteoporosis with current pathological fracture"
"M81","Osteoporosis without current pathological fracture"
"M82","Osteoporosis in other diseases"
"M83","Adult osteomalacia"
"M84","Disorder of continuity of bone"
"M85","Other disorders of bone density and structure"
"M86","Osteomyelitis"
"M87","Osteonecrosis"
"M88","Osteitis deformans [Paget's disease of bone]"
"M89","Other disorders of bone"
"M90","Osteopathies in diseases classified elsewhere"
"M91","Juvenile osteochondrosis of hip and pelvis"
"M92","Other juvenile osteochondrosis"
"M93","Other osteochondropathies"
"M94","Other disorders of cartilage"
"M95","Other acquired deformities of musculoskeletal system and connective tissue"
"M96","Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified"
"M99","Biomechanical lesions, not elsewhere classified"
"N00","Acute nephritic syndrome"
"N01","Rapidly progressive nephritic syndrome"
"N02","Recurrent and persistent hematuria"
"N03","Chronic nephritic syndrome"
"N04","Nephrotic syndrome"
"N05","Unspecified nephritic syndrome"
"N06","Isolated proteinuria with specified morphological lesion"
"N07","Hereditary nephropathy, not elsewhere classified"
"N08","Glomerular disorders in diseases classified elsewhere"
"N10","Acute pyelonephritis"
"N11","Chronic tubulo-interstitial nephritis"
"N12","Tubulo-interstitial nephritis, not specified as acute or chronic"
"N13","Obstructive and reflux uropathy"
"N14","Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions"
"N15","Other renal tubulo-interstitial diseases"
"N16","Renal tubulo-interstitial disorders in diseases classified elsewhere"
"N17","Acute kidney failure"
"N18","Chronic kidney disease (CKD)"
"N19","Unspecified kidney failure"
"N20","Calculus of kidney and ureter"
"N21","Calculus of lower urinary tract"
"N22","Calculus of urinary tract in diseases classified elsewhere"
"N23","Unspecified renal colic"
"N25","Disorders resulting from impaired renal tubular function"
"N26","Unspecified contracted kidney"
"N27","Small kidney of unknown cause"
"N28","Other disorders of kidney and ureter, not elsewhere classified"
"N29","Other disorders of kidney and ureter in diseases classified elsewhere"
"N30","Cystitis"
"N31","Neuromuscular dysfunction of bladder, not elsewhere classified"
"N32","Other disorders of bladder"
"N33","Bladder disorders in diseases classified elsewhere"
"N34","Urethritis and urethral syndrome"
"N35","Urethral stricture"
"N36","Other disorders of urethra"
"N37","Urethral disorders in diseases classified elsewhere"
"N39","Other disorders of urinary system"
"N40","Benign prostatic hyperplasia"
"N41","Inflammatory diseases of prostate"
"N42","Other and unspecified disorders of prostate"
"N43","Hydrocele and spermatocele"
"N44","Noninflammatory disorders of testis"
"N45","Orchitis and epididymitis"
"N46","Male infertility"
"N47","Disorders of prepuce"
"N48","Other disorders of penis"
"N49","Inflammatory disorders of male genital organs, not elsewhere classified"
"N50","Other and unspecified disorders of male genital organs"
"N51","Disorders of male genital organs in diseases classified elsewhere"
"N60","Benign mammary dysplasia"
"N61","Inflammatory disorders of breast"
"N62","Hypertrophy of breast"
"N63","Unspecified lump in breast"
"N64","Other disorders of breast"
"N70","Salpingitis and oophoritis"
"N71","Inflammatory disease of uterus, except cervix"
"N72","Inflammatory disease of cervix uteri"
"N73","Other female pelvic inflammatory diseases"
"N74","Female pelvic inflammatory disorders in diseases classified elsewhere"
"N75","Diseases of Bartholin's gland"
"N76","Other inflammation of vagina and vulva"
"N77","Vulvovaginal ulceration and inflammation in diseases classified elsewhere"
"N80","Endometriosis"
"N81","Female genital prolapse"
"N82","Fistulae involving female genital tract"
"N83","Noninflammatory disorders of ovary, fallopian tube and broad ligament"
"N84","Polyp of female genital tract"
"N85","Other noninflammatory disorders of uterus, except cervix"
"N86","Erosion and ectropion of cervix uteri"
"N87","Dysplasia of cervix uteri"
"N88","Other noninflammatory disorders of cervix uteri"
"N89","Other noninflammatory disorders of vagina"
"N90","Other noninflammatory disorders of vulva and perineum"
"N91","Absent, scanty and rare menstruation"
"N92","Excessive, frequent and irregular menstruation"
"N93","Other abnormal uterine and vaginal bleeding"
"N94","Pain and other conditions associated with female genital organs and menstrual cycle"
"N95","Menopausal and other perimenopausal disorders"
"N96","Recurrent pregnancy loss"
"N97","Female infertility"
"N98","Complications associated with artificial fertilization"
"N99","Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
